time (min),response
4.37,0.0007215195030003535
4.38,0.000775282651781201
4.39,0.0008426128769526422
4.4,0.0009251255716406399
4.41,0.0010246373823942405
4.42,0.0011431802633340405
4.43,0.0012830154083174649
4.44,0.001446646819407716
4.45,0.0016368342371977825
4.46,0.0018566051259396572
4.47,0.0021092653747214656
4.48,0.0023984083459833018
4.49,0.0027279218754154887
4.5,0.003101992803772713
4.51,0.0035251086024524403
4.52,0.004002055641963011
4.53,0.00453791364678894
4.54,0.005138045882785349
4.55,0.005808084635184886
4.56,0.006553911557579547
4.57,0.007381632505729141
4.58,0.008297546515459421
4.59,0.009308108641761558
4.6,0.010419886446752685
4.61,0.01163951000739871
4.62,0.012973615409494875
4.63,0.014428781801686283
4.64,0.01601146220123419
4.65,0.017727908370397737
4.66,0.019584090216884724
4.67,0.02158561031167827
4.68,0.023737614260117355
4.69,0.026044697804580345
4.7,0.028510811676331252
4.71,0.031139165346729482
4.72,0.033932130950539915
4.73,0.036891148762984285
4.74,0.04001663570386644
4.75,0.04330789841317449
4.76,0.04676305248977501
4.77,0.050378949505298955
4.78,0.05415111339657656
4.79,0.058073687800067636
4.8,0.06213939581932019
4.81,0.0663395136108763
4.82,0.07066385903538287
4.83,0.07510079644978167
4.84,0.07963725851511362
4.85,0.08425878566516717
4.86,0.08894958362732093
4.87,0.09369259911254096
4.88,0.09846961350143107
4.89,0.10326135405286042
4.9,0.10804762185695413
4.91,0.11280743545131859
4.92,0.11751918872479634
4.93,0.12216082145325687
4.94,0.1267100005533769
4.95,0.13114430990909356
4.96,0.13544144642711212
4.97,0.1395794198175124
4.98,0.1435367534774442
4.99,0.14729268378346558
5.0,0.15082735507370437
5.01,0.15412200762598222
5.02,0.15715915601258712
5.03,0.15992275533551772
5.04,0.16239835301570602
5.05,0.16457322402279034
5.06,0.16643648768424524
5.07,0.16797920449904083
5.08,0.16919445169557953
5.09,0.17007737660996286
5.1,0.17062522731168597
5.11,0.1708373602623993
5.12,0.1707152251520247
5.13,0.17026232740800856
5.14,0.16948416921081733
5.15,0.16838817016534735
5.16,0.1669835690677589
5.17,0.16528130846509162
5.18,0.1632939039264805
5.19,0.1610353001263834
5.2,0.15852071597947992
5.21,0.15576648116234823
5.22,0.15278986640825473
5.23,0.14960890996895096
5.24,0.14624224260282262
5.25,0.14270891337443659
5.26,0.1390282184397071
5.27,0.13521953484734825
5.28,0.13130216121542537
5.29,0.1272951669464317
5.3,0.12321725143046136
5.31,0.11908661445894361
5.32,0.11492083883619693
5.33,0.11073678593786292
5.34,0.10655050472886826
5.35,0.10237715452345619
5.36,0.09823094155002615
5.37,0.09412506917761061
5.38,0.09007170147176757
5.39,0.08608193957792092
5.4,0.08216581028152381
5.41,0.07833226596811518
5.42,0.07458919510299859
5.43,0.07094344227004139
5.44,0.06740083675151731
5.45,0.063966228595204
5.46,0.060643531099806705
5.47,0.05743576865369231
5.48,0.05434512888300751
5.49,0.051373018101548144
5.5,0.04852011910406568
5.51,0.04578645040486192
5.52,0.04317142609229176
5.53,0.04067391554502823
5.54,0.03829230233555442
5.55,0.0360245417283906
5.56,0.033868216263276234
5.57,0.031820588995283824
5.58,0.02987865404327654
5.59,0.028039184174024935
5.6,0.026298775220717996
5.61,0.02465388720075172
5.62,0.023100882058015484
5.63,0.021636058009026866
5.64,0.020255680520008968
5.65,0.01895600998329428
5.66,0.0177333261963894
5.67,0.016583949775836025
5.68,0.015504260660975988
5.69,0.014490713880237444
5.7,0.013539852765057328
5.71,0.012648319804508267
5.72,0.011812865337616418
5.73,0.011030354280737412
5.74,0.010297771084716573
5.75,0.009612223111377782
5.76,0.008970942611636707
5.77,0.008371287478647226
5.78,0.007810740939274035
5.79,0.007286910336197563
5.8,0.006797525141422976
5.81,0.006340434330169419
5.82,0.005913603232292903
5.83,0.005515109966757408
5.84,0.005143141553372676
5.85,0.004795989785201115
5.86,0.004472046934795543
5.87,0.0041698013578405696
5.88,0.003887833048877412
5.89,0.0036248091956246333
5.9,0.003379479770969014
5.91,0.0031506731949892232
5.92,0.0029372920933668552
5.93,0.002738309173208996
5.94,0.002552763232614899
5.95,0.0023797553162277596
5.96,0.0022184450254747632
5.97,0.0020680469891698476
5.98,0.0019278274975854759
5.99,0.0017971013009480234
6.0,0.0016752285715297005
6.01,0.0015616120270572542
6.02,0.0014556942119922413
6.03,0.0013569549323235173
6.04,0.0012649088388147116
6.05,0.0011791031531364743
6.06,0.0010991155309577915
6.07,0.001024552055846353
6.08,0.0009550453577135542
6.09,0.0008902528495147303
6.1,0.0008298550759633716
6.11,0.0007735541681235703
6.12,0.0007210723978961261
6.13,0.0006721508265989082
6.14,0.000626548042052871
6.15,0.0005840389788132468
6.16,0.0005444138164251784
6.17,0.000507476950828791
6.18,0.00047304603428670073
6.19,0.00044095107945335874
6.2,0.0004110336234483743
6.21,0.0003831459480325707
6.22,0.0003571503522148903
6.23,0.00033291847383893535
6.24,0.00031033065690947126
6.25,0.0002892753616209535
6.26,0.0002696486142420125
6.27,0.00025135349419156295
6.28,0.00023429965581411676
6.29,0.0002184028825239847
6.3,0.00020358467114066857
6.31,0.00018977184438128238
6.32,0.0001768961896104874
6.33,0.00016489412207478405
6.34,0.0001537063709662747
6.35,0.00014327768677182865
6.36,0.00013355656846711182
6.37,0.00012449500921182734
6.38,0.00011604825929296626
6.39,0.00010817460514740072
6.4,0.00010083516337403212
6.41,9.39936887193574e-05
6.42,8.76163950890304e-05
6.43,8.16717887021211e-05
6.44,7.613051256456272e-05
6.45,7.09652014940724e-05
6.46,6.615034698083304e-05
6.47,6.166217121675137e-05
6.48,5.74785096713188e-05
6.49,5.357870163428588e-05
6.5,4.994348818466727e-05
6.51,4.655491708226431e-05
6.52,4.3396254112049785e-05
6.53,4.0451900443626904e-05
6.54,3.770731559767247e-05
6.55,3.5148945638950963e-05
6.56,3.276415624131062e-05
6.57,3.0541170294116825e-05
6.58,2.8469009742017717e-05
6.59,2.6537441370839223e-05
6.6,2.473692627190535e-05
6.61,2.3058572735248254e-05
6.62,2.1494092339118947e-05
6.63,2.0035759019006786e-05
6.64,1.8676370914113377e-05
6.65,1.7409214802964843e-05
6.66,1.622803295267172e-05
6.67,1.5126992218308301e-05
6.68,1.410065524006156e-05
6.69,1.3143953596236598e-05
6.7,1.2252162779973781e-05
6.71,1.1420878876675877e-05
6.72,1.0645996827726986e-05
6.73,9.923690174150893e-06
6.74,9.250392181472828e-06
6.75,8.622778254260603e-06
6.76,8.03774955569768e-06
6.77,7.4924177541375855e-06
6.78,6.984090824982089e-06
6.79,6.5102598424893775e-06
6.8,6.068586702339896e-06
6.81,5.656892722070412e-06
6.82,5.273148072942279e-06
6.83,4.9154620035775995e-06
6.84,4.5820738229325696e-06
6.85,4.271344618069842e-06
6.86,3.981749690957967e-06
6.87,3.7118717084287556e-06
6.88,3.4603945707639788e-06
6.89,3.2260980175231727e-06
6.9,3.0078530045799717e-06
6.91,2.804617904398518e-06
6.92,2.6154356029192494e-06
6.93,2.439431591695551e-06
6.94,2.2758131838809587e-06
6.95,2.1238700181786176e-06
6.96,1.982976056908385e-06
6.97,1.8525933340309144e-06
6.98,1.7322777675288072e-06
6.99,1.6216874193582707e-06
7.0,1.5205936667615644e-06
7.01,1.4288958427175216e-06
7.02,1.3466400124753403e-06
7.03,1.2740426793491238e-06
7.04,1.2115203582162904e-06
7.05,1.1597261214871548e-06
7.06,1.1195944117308586e-06
7.07,1.092395629643028e-06
7.08,1.0798022474944123e-06
7.09,1.08396846827137e-06
7.1,1.1076257507622678e-06
7.11,1.1541968517745922e-06
7.12,1.227931398823074e-06
7.13,1.3340663996009975e-06
7.14,1.47901551699945e-06
7.15,1.670591387907536e-06
7.16,1.9182657366982543e-06
7.17,2.2334725247915397e-06
7.18,2.6299598787842603e-06
7.19,3.124197042093331e-06
7.2,3.735843087330572e-06
7.21,4.488284594681113e-06
7.22,5.409249928659238e-06
7.23,6.531508112212252e-06
7.24,7.893660580741863e-06
7.25,9.541034273786531e-06
7.26,1.152668456053944e-05
7.27,1.391251636605909e-05
7.28,1.6770531534533683e-05
7.29,2.0184209898893055e-05
7.3,2.425003068566881e-05
7.31,2.9079139732868482e-05
7.32,3.4799166499738405e-05
7.33,4.155619296498276e-05
7.34,4.9516874211474165e-05
7.35,5.887070775206036e-05
7.36,6.983244544005277e-05
7.37,8.26446381142361e-05
7.38,9.758029894625462e-05
7.39,0.00011494566679386748
7.4,0.00013508304573622688
7.41,0.00015837369141159465
7.42,0.00018524070884549706
7.43,0.0002161519202184231
7.44,0.00025162265456699545
7.45,0.0002922184048516632
7.46,0.00033855729128926703
7.47,0.0003913122634925048
7.48,0.00045121296795301845
7.49,0.0005190472019405404
7.5,0.0005956618701738764
7.51,0.0006819633568682252
7.52,0.0007789172232049382
7.53,0.0008875471391329474
7.54,0.0010089329589232387
7.55,0.0011442078522758891
7.56,0.0012945544072234356
7.57,0.0014611996277612948
7.58,0.0016454087582078254
7.59,0.0018484778778566319
7.6,0.002071725223584108
7.61,0.002316481214714888
7.62,0.002584077173558611
7.63,0.0028758327564811764
7.64,0.0031930421339512183
7.65,0.0035369589834286785
7.66,0.003908780385872888
7.67,0.004309629744612397
7.68,0.004740538873827544
7.69,0.005202429432385972
7.7,0.00569609390660856
7.71,0.0062221763720671334
7.72,0.0067811532890183
7.73,0.007373314607854782
7.74,0.007998745479290326
7.75,0.008657308878204963
7.76,0.009348629459516757
7.77,0.010072078968540135
7.78,0.010826763526539647
7.79,0.011611513104203329
7.8,0.012424873481274837
7.81,0.013265100969458422
7.82,0.014130160147976507
7.83,0.015017724826981145
7.84,0.015925182413750905
7.85,0.01684964181074199
7.86,0.01778794492378504
7.87,0.018736681803839566
7.88,0.019692209387704156
7.89,0.020650673743004753
7.9,0.02160803566183406
7.91,0.022560099386831678
7.92,0.023502544194577632
7.93,0.024430958505213946
7.94,0.02534087613549687
7.95,0.02622781426622795
7.96,0.02708731265535077
7.97,0.027914973595932053
7.98,0.0287065020946344
7.99,0.02945774573179991
8.0,0.03016473365938897
8.01,0.03082371419800907
8.02,0.03143119050917835
8.03,0.03198395384359437
8.04,0.03247911390011639
8.05,0.03291412587277952
8.06,0.0332868138136091
8.07,0.033595389996274164
8.08,0.03383847002853296
8.09,0.03401508352868686
8.1,0.034124680251465464
8.11,0.03416713162047429
8.12,0.034142727696066404
8.13,0.034052169677797194
8.14,0.03389655810808699
8.15,0.033677377007028046
8.16,0.03339647422624062
8.17,0.03305603836125259
8.18,0.03265857260616782
8.19,0.03220686597070812
8.2,0.03170396230756249
8.21,0.031153127617067008
8.22,0.03055781610648411
8.23,0.029921635482660892
8.24,0.02924831194993794
8.25,0.028541655370319163
8.26,0.027805525020747186
8.27,0.02704379635361986
8.28,0.026260329132311324
8.29,0.025458937274383364
8.3,0.024643360692403353
8.31,0.02381723937686195
8.32,0.02298408991864234
8.33,0.022147284620855457
8.34,0.021310033302570898
8.35,0.02047536785095174
8.36,0.01964612953434267
8.37,0.01882495904767702
8.38,0.018014289223759885
8.39,0.017216340310033718
8.4,0.016433117680700958
8.41,0.015666411828820122
8.42,0.014917800462320642
8.43,0.014188652511835848
8.44,0.013480133846740065
8.45,0.012793214488631664
8.46,0.012128677108477573
8.47,0.011487126594415737
